"city","city_ascii","state_id","state_name","lat","lng","population","density"
"New York","New York","NY","New York","40.6943","-73.9249","18713220","10715"
"Los Angeles","Los Angeles","CA","California","34.1139","-118.4068","12750807","3276"
"Chicago","Chicago","IL","Illinois","41.8373","-87.6862","8604203","4574"
"Miami","Miami","FL","Florida","25.7839","-80.2102","6445545","5019"
"Dallas","Dallas","TX","Texas","32.7936","-96.7662","5743938","1526"
"Philadelphia","Philadelphia","PA","Pennsylvania","40.0077","-75.1339","5649300","4554"
"Houston","Houston","TX","Texas","29.7863","-95.3889","5464251","1399"
"Atlanta","Atlanta","GA","Georgia","33.7627","-84.4224","5449398","1441"
"Washington","Washington","DC","District of Columbia","38.9047","-77.0163","5379184","4457"
"Boston","Boston","MA","Massachusetts","42.3188","-71.0846","4688346","5532"
"Phoenix","Phoenix","AZ","Arizona","33.5722","-112.0891","4219697","1253"
"Seattle","Seattle","WA","Washington","47.6211","-122.3244","3789215","3469"
"San Francisco","San Francisco","CA","California","37.7562","-122.4430","3592294","7256"
"Detroit","Detroit","MI","Michigan","42.3834","-83.1024","3506126","1864"
"San Diego","San Diego","CA","California","32.8312","-117.1225","3220118","1686"
"Minneapolis","Minneapolis","MN","Minnesota","44.9635","-93.2678","2977172","3071"
"Tampa","Tampa","FL","Florida","27.9942","-82.4451","2908063","1353"
"Denver","Denver","CO","Colorado","39.7621","-104.8759","2876625","1831"
"Brooklyn","Brooklyn","NY","New York","40.6501","-73.9496","2559903","14221"
"Queens","Queens","NY","New York","40.7498","-73.7976","2230722","7885"
"Riverside","Riverside","CA","California","33.9381","-117.3948","2107852","1574"
"Baltimore","Baltimore","MD","Maryland","39.3051","-76.6144","2106068","2830"
"Las Vegas","Las Vegas","NV","Nevada","36.2333","-115.2654","2104198","1773"
"Portland","Portland","OR","Oregon","45.5372","-122.6500","2074775","1894"
"San Antonio","San Antonio","TX","Texas","29.4658","-98.5253","2049293","1231"
"St. Louis","St. Louis","MO","Missouri","38.6358","-90.2451","2024074","1879"
"Sacramento","Sacramento","CA","California","38.5667","-121.4683","1898019","2029"
"Orlando","Orlando","FL","Florida","28.4772","-81.3369","1822394","1003"
"San Jose","San Jose","CA","California","37.3019","-121.8486","1798103","2218"
"Cleveland","Cleveland","OH","Ohio","41.4767","-81.6804","1710093","1893"
"Pittsburgh","Pittsburgh","PA","Pennsylvania","40.4396","-79.9762","1703266","2093"
